,adult,budget,id,original_language,popularity,release_date,revenue,runtime,status,title,vote_average,vote_count
1,FALSE,0,35336,sv,0.087759,10/03/2006,0,0,Released,Brothers: The Return,5,2
2,FALSE,8000000,79224,ko,7.030308,10/08/2011,49000000,122,Released,War of the Arrows,6.7,68
3,FALSE,0,58007,it,1.573912,01/01/1954,0,95,Released,Poverty and Nobility,8.1,36
4,FALSE,0,126969,ml,0.071578,06/09/1996,0,107,Released,Man of the Story,5,1
5,FALSE,30000,324436,sv,0.175255,08/02/2015,0,94,Released,Dyke Hard,4.5,2
6,FALSE,0,116751,fr,0.162221,12/09/1999,0,63,Rumored,The Little Thief,7,2
7,FALSE,0,265966,en,0.451412,11/06/1999,0,101,Released,Promise Her Anything,0,0
8,FALSE,0,39064,id,0.24535,26/04/2005,0,83,Released,Joni's Promise,6.8,6
9,FALSE,0,10897,en,6.707109,05/08/1994,67308282,82,Released,The Little Rascals,6.3,214
10,FALSE,55000000,8818,en,6.709803,14/12/1996,141047179,134,Released,Evita,5.9,122
11,FALSE,0,38918,de,1.39567,30/03/2006,0,95,Released,Kiss me Kismet,6.2,3
12,FALSE,0,25993,en,5.378622,17/11/1972,0,88,Released,Asylum,5.9,25
13,FALSE,0,57953,en,0.318296,03/10/1997,0,72,Released,Project Grizzly,5.6,6
14,FALSE,0,72308,en,0.009083,28/02/2002,0,95,Released,Shanghai Ghetto,0,0
15,FALSE,0,23134,en,0.492677,07/11/2006,0,94,Released,Totally Awesome,3.5,4
16,FALSE,0,54279,ja,0.991587,30/12/1967,0,87,Released,Zatôichi Challenged,6.1,9
17,FALSE,0,333381,en,5.814583,31/05/2015,0,95,Released,Return to Sender,5,140
18,FALSE,0,81522,it,1.338179,07/12/1972,0,114,Released,What?,6.1,23
19,FALSE,15000000,15050,en,9.974312,30/09/1983,10219460,106,Released,Brainstorm,6.3,65
20,FALSE,0,11239,ja,1.963402,27/01/1996,0,136,Released,Shall We Dance?,7.2,35
21,FALSE,0,72057,it,0.360795,16/03/2011,0,105,Released,Sorelle Mai,7,2
22,FALSE,0,238475,en,2.546891,31/01/2014,0,90,Released,Best Night Ever,4,28
23,FALSE,0,198450,en,0.000308,02/06/1988,0,90,Released,The Cannibals,7.7,3
24,FALSE,0,84066,it,0.770641,01/01/1982,0,97,Released,Bonnie and Clyde Italian Style,5.6,8
25,FALSE,4000000,411088,es,13.90698,15/12/2016,0,106,Released,The Invisible Guest,8.1,395
26,FALSE,0,360638,fr,3.875212,07/10/2015,0,100,Released,The Student and Mister Henri,6.9,87
27,FALSE,0,16703,en,2.173964,13/05/1942,0,81,Released,This Gun for Hire,7.1,29
28,FALSE,0,31997,en,4.911826,24/04/1942,0,108,Released,Saboteur,6.8,91
29,FALSE,0,50162,ja,1.15526,14/09/1991,0,97,Released,964 Pinocchio,5.9,9
30,FALSE,0,247436,en,0.107099,01/01/1996,0,6,Released,Wind,6,3
31,FALSE,0,209840,zh,1.319475,21/02/2014,0,138,Released,Stray Dogs,7.1,19
32,FALSE,0,71147,en,0.370855,13/08/2001,0,92,Released,The Triangle,3.1,9
33,FALSE,0,124057,en,0.307075,08/07/1997,0,89,Released,Kids of the Round Table,3,1
34,FALSE,1000000,9261,zh,2.709403,04/08/1993,6933459,109,Released,The Wedding Banquet,6.8,42
35,FALSE,0,30352,en,1.249626,14/04/1989,0,98,Released,Disorganized Crime,4.7,10
36,FALSE,0,149026,en,0.813278,20/10/1971,0,90,Released,T.R. Baskin,6,2
37,FALSE,0,27092,es,2.169971,11/05/2000,0,125,Released,Burnt Money,6.4,21
38,FALSE,0,85743,en,1.720825,15/05/2011,0,118,Released,Play,7.4,20
39,FALSE,0,73901,en,1.251338,20/12/1999,0,80,Released,Wakko's Wish,6,3
40,FALSE,0,232860,en,0.343011,01/11/1940,0,70,Released,Who Killed Aunt Maggie?,4,2
41,FALSE,0,39519,en,0.923161,03/08/1967,0,105,Released,Beach Red,6.4,9
42,FALSE,0,135921,en,1.99456,05/10/2012,0,98,Released,Everything or Nothing,7.1,25
43,FALSE,0,55922,en,2.088552,16/05/2004,0,98,Released,Intern Academy,4.9,11
44,FALSE,0,33068,en,0.45788,12/09/2001,0,85,Released,Hell House,6.8,13
